sno,url,brand,title,description,metadata,trending,stockQuantity,soldQuantity,price,salePrice,sizes,categories,rating
11,"https://back-benchers.netlify.app/product_imgs/img00021.png , https://back-benchers.netlify.app/product_imgs/img00022.png",Unknown,Top and Joggers Set,"Top Fabric:95% Cotton 5% elastane, Bottom Fabric:95% Cotton 5% elastane, Bottom Closure:Slip-On, Bottom Pattern:Solid, Bottom Type:Trousers, Neck:Scoop Neck, Ocasion:Casual, Sleeve Length:Sleeveless, Sustainable:Regular, Top Pattern:Solid, Top Type:Top, Wash Care: Machine Wash",The model (height 5'8) is wearing a size S,FALSE,1,0,100,999,S,Top n Joggers Set,0
12,"https://back-benchers.netlify.app/product_imgs/img00023.png , https://back-benchers.netlify.app/product_imgs/img00024.png",Unknown,Top and Joggers Set,"Top Fabric:95% Cotton 5% elastane, Bottom Fabric:95% Cotton 5% elastane, Bottom Closure:Slip-On, Bottom Type:Joggers, Neck:Round Neck, Ocasion:Casual, Sleeve Length:Sleeveless, Sustainable:Regular, Top Pattern:Crop Top, Top Type:Top, Wash Care: Machine Wash",The model (height 5'8) is wearing a size S,FALSE,1,0,100,999,S,Top n Joggers Set,0
13,"https://back-benchers.netlify.app/product_imgs/img00025.png , https://back-benchers.netlify.app/product_imgs/img00026.png",Unknown,Tie and Dye Joggers,"Bottom Fabric:100% Cotton Terry, Bottom Closure: Slip-On, Bottom Type:Joggers, Ocasion:Casual, Sustainable:Regular, Top Pattern:Dyed, Top Type:T-shirt, Wash Care: Machine Wash",The model (height 5'8) is wearing a size S,FALSE,1,0,100,699,S,Joggers,0
14,"https://back-benchers.netlify.app/product_imgs/img00027.png , https://back-benchers.netlify.app/product_imgs/img00028.png",Unknown,Tie and Dye Joggers,"Bottom Fabric:100$ Cotton, Bottom Closure: Slip-On, Bottom Type:Joggers, Ocasion:Casual, Sustainable:Regular, Wash Care:Machine Wash",The model (height 5'8) is wearing a size S,FALSE,1,0,100,699,S,Joggers,0
15,"https://back-benchers.netlify.app/product_imgs/img00029.png , https://back-benchers.netlify.app/product_imgs/img00030.png",Unknown,Two-Piece (T-shirt and a pair of joggers),"Fabric:Cotton, Neck:Round Neck, Number Of Pockets:2, Ocasion:Casual, Pattern:Colourblocked, Sleeve Length: Long Sleeves, Surface Styling: Waist Tie-Ups, Sustainable:Regular, Type:Two-Piece, Wash Care:Machine Wash",The model (height 5'8) is wearing a size S,FALSE,1,0,100,1499,S,Two-Piece,0
16,"https://back-benchers.netlify.app/product_imgs/img00031.png , https://back-benchers.netlify.app/product_imgs/img00032.png",Unknown,Zipper Co-Ord Set,"Fabric:Cotton, Neck:Round Zipper Neck, Number Of Pockets:2, Ocasion:Casual, Pattern:Co-ord set, Sleeve Length:Long Sleeves, Surface Styling:Waist Tie-Ups, Sustainable:Regular, Type:Two-Piece, Wash Care: Machine Wash",The model (height 5'8) is wearing a size S,FALSE,1,0,100,1499,S,Zipper Co-Ord Set,0
17,"https://back-benchers.netlify.app/product_imgs/img00033.png , https://back-benchers.netlify.app/product_imgs/img00034.png",Unknown,T-shirt and Joggers Co-Ord Set,"Fabric:Cotton, Neck:Round Neck, Number Of Pockets:2, Ocasion:Casual, Pattern:Colourblocked, Sleeve Length:half sleeves, Surface Styling: Waist Tie-Ups, Sustainable:Regular, Type:Two-Piece, Wash Care:Machine Wash",The model (height 5'8) is wearing a size S,FALSE,1,0,100,599,S,T-shirt n Joggers Set,0
18,"https://back-benchers.netlify.app/product_imgs/img00035.png , https://back-benchers.netlify.app/product_imgs/img00036.png",Unknown,Track Pant with Zipper,"Bottom Fabric:100% Cotton Terry, Bottom Closure:Slip-On, Bottom Type:Joggers, Ocasion:Casual, Sustainable:Regular, Wash Care:Machine Wash",The model (height 5'8) is wearing a size S,FALSE,1,0,100,599,S,Track Pant,0
19,"https://back-benchers.netlify.app/product_imgs/img00037.png , https://back-benchers.netlify.app/product_imgs/img00038.png",Unknown,Slim Fit Cropped Trousers with Paper Bag Waist,"Bottom Fabric:100% Cotton Terry, Bottom Closure:Slip-On, Bottom Type:Joggers, Ocasion:Casual, Sustainable:Regular, Wash Care:Machine Wash",The model (height 5'8) is wearing a size S,FALSE,1,0,100,599,S,Trousers,0
20,"https://back-benchers.netlify.app/product_imgs/img00039.png , https://back-benchers.netlify.app/product_imgs/img00040.png",Unknown,Green Crop Regular Top,"Sleeve Length:Long Sleeves, Neck:High Neck, Type:Regular, Pattern:Self Design, Sleeve Styling:Regular Sleeves, Surface Styling:Cut Out, Transpanrency:Opaque, Length:Crop, Fabric Type:Cotton, Main Trend:New Basics, Ocasion:Casual, Weave Type:Knitted",The model (height 5'8) is wearing a size S,FALSE,1,0,100,499,S,Top,0
21,"https://back-benchers.netlify.app/product_imgs/img00041.png , https://back-benchers.netlify.app/product_imgs/img00042.png",Unknown,Women Corduroy Tailored Jacket,"Sleeve Length:Long Sleeves, Neck:Coller and Button, Type:Regular, Pattern:Self Design, Sleeve Styling:Regular Sleeves, Fabric Type:Polyester, Ocasion:Casual, Wash:Machine",The model (height 5'8) is wearing a size S,FALSE,1,0,100,999,S,Jacket,0
22,"https://back-benchers.netlify.app/product_imgs/img00043.png , https://back-benchers.netlify.app/product_imgs/img00044.png",Unknown,Boat Neck Fitted T-shirt,"Sleeve Length:Full Sleeves, Neck:Boat Cut Neck, Type:Regular, Sleeve Styling:Full Sleeves, Fabric Type:Cotton, Wash:Machine",The model (height 5'8) is wearing a size S,FALSE,1,0,100,499,S,T-shirt,0
23,"https://back-benchers.netlify.app/product_imgs/img00045.png , https://back-benchers.netlify.app/product_imgs/img00046.png",Unknown,Cargo Style Joggers,"Bottom Closure:Slip-On, Bottom Fabric:Cotton Fleece, Bottom Type:Joggers, Ocasion:Casual, Sustainable:Regular, Wash Care:Machine Wash",The model (height 5'8) is wearing a size S,FALSE,1,0,100,699,S,Joggers,0
24,"https://back-benchers.netlify.app/product_imgs/img00047.png , https://back-benchers.netlify.app/product_imgs/img00048.png",Unknown,Printed Joggers,"Number Of Pockets:2, Bottom Closure:Slip-On, Bottom Fabric:Cotton Fleece, Bottom Type:Joggers, Ocasion:Casual, Sustainable:Regular, Wash Care:Machine Wash",The model (height 5'8) is wearing a size S,FALSE,1,0,100,699,S,Joggers,0
25,"https://back-benchers.netlify.app/product_imgs/img00049.png , https://back-benchers.netlify.app/product_imgs/img00050.png",Unknown,Peach Colored Crop Fitted Top,"Sleeve Length:Sleeveless, Neck:High Neck, Type:Fitted, Pattern:Solid, Sleeve Styling:No Sleeves, Transpanrency:Opaque< Length:Crop, Main Trend:New Basics, Ocasion:Casual, Weave Type:Knitted",The model (height 5'8) is wearing a size S,FALSE,1,0,100,499,S,Top,0
26,"https://back-benchers.netlify.app/product_imgs/img00051.png , https://back-benchers.netlify.app/product_imgs/img00052.png",Unknown,Pastel Pink Coloured Crop Fitted Top,"Sleeve Length:Sleeveless, Neck:High Neck, Type:Fitted, Pattern:Solid, Sleeve Styling:No Sleeves, Transpanrency:Opaque, Length:Crop, Main Trend:New Basics, Ocasion:Casual, Weave Type:Knitted",The model (height 5'8) is wearing a size S,FALSE,1,0,100,499,S,Top,0
27,"https://back-benchers.netlify.app/product_imgs/img00053.png , https://back-benchers.netlify.app/product_imgs/img00054.png",Unknown,Solid Polo Collar T-shirt,"Fabric:Cotton Spandex Rib, Wash Care:Machine Wash, Sleeve Length:Short Sleeves, Neck:Round Collar Neck, Type:Regular, Pattern:Black Coloured, Sleeve Styling: Regular Sleeves, Transpanrency:Opaque, Length:Crop, Main Trend:New Basics, Ocasion:Casual, Weave Type:Knitted",The model (height 5'8) is wearing a size S,FALSE,1,0,100,499,S,T-shirt,0
28,"https://back-benchers.netlify.app/product_imgs/img00055.png , https://back-benchers.netlify.app/product_imgs/img00056.png",Unknown,Snap Button Track Pant,"Bottom Fabric:Cotton, Bottom Type:Track Pant, Ocasion:Casual, Sustainable:Regular, Pockets:2, Wash Care:Machine Wash",The model (height 5'8) is wearing a size S,FALSE,1,0,100,599,S,Track Pant,0
29,"https://back-benchers.netlify.app/product_imgs/img00057.png , https://back-benchers.netlify.app/product_imgs/img00058.png",Unknown,Printed Crop Sweatshirt,"Sleeve Length:Long Sleeves, Neck:Round Neck, Type:Regular, Pattern:Printed, Sleeve Styling:Regular Sleeves, Surface Styling:Cut Out, Transpanrency:Opaque, Length:Crop, Fabric Type:Cotton, Main Trend:New Basics, Ocasion:Casual",The model (height 5'8) is wearing a size S,FALSE,1,0,100,599,S,Sweatshirt,0
30,"https://back-benchers.netlify.app/product_imgs/img00059.png , https://back-benchers.netlify.app/product_imgs/img00060.png",Unknown,Printed Crop Sweatshirt,"Sleeve Length:Long Sleeves, Neck:Round Neck, Type:Regular, Pattern:Printed, Sleeve Styling:Regular Sleeves, Surface Styling:Cut Out, Transpanrency:Opaque, Length:Crop, Fabric Type:Cotton, Main Trend:New Basics, Ocasion:Casual",The model (height 5'8) is wearing a size S,FALSE,1,0,100,599,S,Sweatshirt,0
31,"https://back-benchers.netlify.app/product_imgs/img00061.png , https://back-benchers.netlify.app/product_imgs/img00062.png",Unknown,Mustered Coloured Printed Sweatshirt,"Sleeve Length:Long Sleeves, Neck:Round Neck, Type:Regular, Pattern:Printed, Sleeve Styling:Regular Sleeves, Surface Styling:Cut Out, Transpanrency:Opaque, Length:Crop, Fabric Type:Cotton, Main Trend:New Basics, Ocasion:Casual",The model (height 5'8) is wearing a size S,FALSE,1,0,100,599,S,Sweatshirt,0
32,"https://back-benchers.netlify.app/product_imgs/img00063.png , https://back-benchers.netlify.app/product_imgs/img00064.png",Unknown,Pumpkin Coloured Printed Crop Sweatshirt,"Sleeve Length:Long Sleeves, Neck:Round Neck, Type:Regular, Pattern:Printed, Sleeve Styling:Regular Sleeves, Surface Styling:Cut Out, Transpanrency:Opaque, Length:Crop, Fabric Type:Cotton, Main Trend:New Basics, Ocasion:Casual",The model (height 5'8) is wearing a size S,FALSE,1,0,100,599,S,Sweatshirt,0
33,"https://back-benchers.netlify.app/product_imgs/img00065.png , https://back-benchers.netlify.app/product_imgs/img00066.png",Unknown,Women Hooded Oversized Sweatshirt,"Sleeve Length:Long Sleeves, Neck:Round Neck, Type:Regular, Pattern:Printed, Sleeve Styling:Regular Sleeves, Fabric Type:Cotton Fleece, Main Trend:New Basics, Ocasion:Casual",The model (height 5'8) is wearing a size S,FALSE,1,0,100,599,S,Sweatshirt,0
34,"https://back-benchers.netlify.app/product_imgs/img00067.png , https://back-benchers.netlify.app/product_imgs/img00068.png",Unknown,Rib Fabric Sleeveless Eyelet Top,"Neck:Boat Neck, Type:Regular, Sleeve Styling:No Sleeves, Surface Styling:Tie-Ups, Transpanrency:Opaque, Main Trend:New Basics, Ocasion:Casual, Weave Type:Knitted",The model (height 5'8) is wearing a size S,FALSE,1,0,100,499,S,Top,0
35,"https://back-benchers.netlify.app/product_imgs/img00069.png , https://back-benchers.netlify.app/product_imgs/img00070.png",Unknown,Lilac Coloured Solid Po;o Collar T-short,"Sleeve Length: Short Sleeves, Neck:Round Collar Neck, Type:Regular, Pattern:Black Coloured, Sleeve Styling:Regular Sleeves, Transpanrency:Opaque, Length:Crop, Main Trend:New Basics, Ocasion:Casual, Weave Type:Knitted",The model (height 5'8) is wearing a size S,FALSE,1,0,100,499,S,T-shirt,0
